2024-11-19 18:22:53 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2024-11-19 18:22:53 INFO  SparkContext:54 - Running Spark version 2.3.1
2024-11-19 18:22:53 INFO  SparkContext:54 - Submitted application: BFS-based Shortest Path Search
2024-11-19 18:22:53 INFO  SecurityManager:54 - Changing view acls to: dazhili
2024-11-19 18:22:53 INFO  SecurityManager:54 - Changing modify acls to: dazhili
2024-11-19 18:22:53 INFO  SecurityManager:54 - Changing view acls groups to: 
2024-11-19 18:22:53 INFO  SecurityManager:54 - Changing modify acls groups to: 
2024-11-19 18:22:53 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(dazhili); groups with view permissions: Set(); users  with modify permissions: Set(dazhili); groups with modify permissions: Set()
2024-11-19 18:22:53 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 43958.
2024-11-19 18:22:53 INFO  SparkEnv:54 - Registering MapOutputTracker
2024-11-19 18:22:53 INFO  SparkEnv:54 - Registering BlockManagerMaster
2024-11-19 18:22:53 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2024-11-19 18:22:53 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2024-11-19 18:22:53 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-0ebc0914-7581-4882-952b-a00507aa289b
2024-11-19 18:22:53 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2024-11-19 18:22:53 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2024-11-19 18:22:54 INFO  log:192 - Logging initialized @2021ms
2024-11-19 18:22:54 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2024-11-19 18:22:54 INFO  Server:414 - Started @2095ms
2024-11-19 18:22:54 INFO  AbstractConnector:278 - Started ServerConnector@c00fff0{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2024-11-19 18:22:54 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@aec50a1{/jobs,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@29ad44e3{/jobs/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@15bcf458{/jobs/job,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@43c67247{/jobs/job/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@fac80{/stages,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@726386ed{/stages/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@649f2009{/stages/stage,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@797501a{/stages/stage/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1a15b789{/stages/pool,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@57f791c6{/stages/pool/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@51650883{/storage,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6c4f9535{/storage/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5bd1ceca{/storage/rdd,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@30c31dd7{/storage/rdd/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@499b2a5c{/environment,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@596df867{/environment/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@c1fca1e{/executors,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@241a53ef{/executors/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@344344fa{/executors/threadDump,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2db2cd5{/executors/threadDump/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@70e659aa{/static,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7544a1e4{/,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@70e0accd{/api,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4fdfa676{/jobs/job/kill,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@82c57b3{/stages/stage/kill,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  SparkUI:54 - Bound SparkUI to 0.0.0.0, and started at http://cssmpi8h.uwb.edu:4040
2024-11-19 18:22:54 INFO  SparkContext:54 - Added JAR file:/home/NETID/dazhili/prog4/ShortestPath.jar at spark://cssmpi8h.uwb.edu:43958/jars/ShortestPath.jar with timestamp 1732069374276
2024-11-19 18:22:54 INFO  StandaloneAppClient$ClientEndpoint:54 - Connecting to master spark://cssmpi8h:58240...
2024-11-19 18:22:54 INFO  TransportClientFactory:267 - Successfully created connection to cssmpi8h/10.158.82.68:58240 after 30 ms (0 ms spent in bootstraps)
2024-11-19 18:22:54 INFO  StandaloneSchedulerBackend:54 - Connected to Spark cluster with app ID app-20241119182254-0002
2024-11-19 18:22:54 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor added: app-20241119182254-0002/0 on worker-20241119181229-10.158.82.68-42957 (10.158.82.68:42957) with 1 core(s)
2024-11-19 18:22:54 INFO  StandaloneSchedulerBackend:54 - Granted executor ID app-20241119182254-0002/0 on hostPort 10.158.82.68:42957 with 1 core(s), 1024.0 MB RAM
2024-11-19 18:22:54 INFO  Utils:54 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 34382.
2024-11-19 18:22:54 INFO  NettyBlockTransferService:54 - Server created on cssmpi8h.uwb.edu:34382
2024-11-19 18:22:54 INFO  BlockManager:54 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2024-11-19 18:22:54 INFO  StandaloneAppClient$ClientEndpoint:54 - Executor updated: app-20241119182254-0002/0 is now RUNNING
2024-11-19 18:22:54 INFO  BlockManagerMaster:54 - Registering BlockManager BlockManagerId(driver, cssmpi8h.uwb.edu, 34382, None)
2024-11-19 18:22:54 INFO  BlockManagerMasterEndpoint:54 - Registering block manager cssmpi8h.uwb.edu:34382 with 366.3 MB RAM, BlockManagerId(driver, cssmpi8h.uwb.edu, 34382, None)
2024-11-19 18:22:54 INFO  BlockManagerMaster:54 - Registered BlockManager BlockManagerId(driver, cssmpi8h.uwb.edu, 34382, None)
2024-11-19 18:22:54 INFO  BlockManager:54 - Initialized BlockManager: BlockManagerId(driver, cssmpi8h.uwb.edu, 34382, None)
2024-11-19 18:22:54 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7c974942{/metrics/json,null,AVAILABLE,@Spark}
2024-11-19 18:22:54 INFO  StandaloneSchedulerBackend:54 - SchedulerBackend is ready for scheduling beginning after reached minRegisteredResourcesRatio: 0.0
